Serial Number,Error Type,Ungrammatical Statement,Standard Tamil,,
0,error1,???? ?????? ????? ???????????.,???? ?????? ????? ?????????.,,
1,error2,???? ??????????? ????????.,???? ??????????? ????????.,,
2,error1,???? ?????? ???? ??????????????.,???? ?????? ???? ????????????.,,
3,error1,???? ??????? ??????????? ????????.,???? ??????? ??????????? ??????????.,,
4,error2,???? ???? ????????????.,???? ???? ????????????.,,
5,error2,???? ???????? ?????????.,???? ???????? ?????????.,,
6,error1,???? ?????? ???????? ?????????.,???? ?????? ???????? ?????????.,,
7,error2,???? ???? ????????.,???? ???? ????????.,,
8,error1,???? ???? ???? ????????????.,???? ???? ???? ??????????.,,
9,error2,???? ????? ??????????.,???? ????? ??????????.,,
10,error1,???? ??????? ???? ??????????????????.,???? ??????? ???? ??????????????.,,
11,error2,???? ????????.,???? ????????.,,
12,error1,???? ???? ????????? ????????.,???? ???? ????????? ??????.,,
13,error2,???? ????????.,???? ????????.,,
14,error1,???? ??????? ????? ??????????????? ?????????.,???? ??????? ????? ???????????.,,
15,error2,???? ????? ???????????.,???? ????? ???????????.,,
16,error1,???? ?????? ???? ????????.,???? ?????? ???? ????????.,,
17,error2,???? ???? ??????????.,???? ???? ??????????.,,
18,error1,???? ??? ??????? ????????????.,???? ??? ??????? ????????????????.,,
19,error2,???? ???????? ?????????.,???? ???????? ?????????.,,
20,error1,???? ??????? ????????????.,???? ??????? ??????????????.,,
21,error2,???? ???? ????????.,???? ???? ????????.,,
22,error1,???? ???????? ?????????? ??????? ?????????.,???? ???????? ?????????? ??????? ???????.,,
23,error2,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
24,error1,???? ??????? ???????? ??? ??????????.,???? ??????? ???????? ??? ??????????.,,
25,error2,???? ??????????? ?????????.,???? ??????????? ?????????.,,
26,error1,???? ???? ??????????????.,???? ???? ????????????.,,
27,error2,???? ???? ?????????.,???? ???? ?????????.,,
28,error1,???? ?????? ??? ??????????.,???? ?????? ??? ????????.,,
29,error2,???? ??? ???? ????.,???? ??? ???????.,,
30,error1,???? ??????? ???? ???? ????????????.,???? ??????? ???? ???? ??????????????.,,
31,error2,???? ????? ?????????.,???? ????? ?????????.,,
32,error1,???? ?????? ????????????.,???? ?????? ????????????.,,
33,error2,???? ????? ???????????.,???? ????? ???????????.,,
34,error1,???? ???? ????? ?????????.,???? ???? ????? ?????????.,,
35,error2,???? ???? ?????????.,???? ???? ?????????.,,
36,error1,???? ??????? ???????.,???? ??????? ?????????.,,
37,error2,???? ?? ??????????.,???? ?? ??????????.,,
38,error1,???? ?????? ????? ???????????.,???? ?????? ????? ?????????.,,
39,error2,???? ????? ???????.,???? ????? ???????.,,
40,error1,???? ???? ???????.,???? ???? ???????.,,
41,error2,???? ????? ??????????.,???? ????? ??????????.,,
42,error1,???? ??????? ????? ?????????.,???? ??????? ????? ???????????.,,
43,error2,???? ??? ??????????.,???? ??? ??????????.,,
44,error1,???? ?????? ???? ??????????.,???? ?????? ???? ????????.,,
45,error2,???? ????????.,???? ????????.,,
46,error1,???? ???? ????? ???????????.,???? ???? ????? ?????????.,,
47,error2,???? ???????? ?????????.,???? ???????? ?????????.,,
48,error1,???? ??????? ???????.,???? ??????? ?????????.,,
49,error2,???? ???? ????????.,???? ???? ????????.,,
50,error1,???? ???? ???? ????????.,???? ???? ???? ????????.,,
51,error2,???? ????? ???????????.,???? ????? ???????????.,,
